SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
Phaeanthus;Phaeanthus;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Phaeanthus;Phaeanthus;(DC.) Setten & Maas;2000ABS-75;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Phoenicanthus;Phoenicanthus;Annonaceae;Malmeoideae;Phoenicantheae;Phoenicantheae;Phoenicanthus;Phoenicanthus;Maas & Junikka;2000ABS-76;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Piptostigma;Piptostigma;Annonaceae;Malmeoideae;Piptostigmateae;Piptostigmateae;Piptostigma;Piptostigma;Saff.;2000ABS-77;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Platymitra;Platymitra;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Platymitra;Platymitra;Mart.;2000ABS-78;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Polyalthia;Polyalthia;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Polyalthia;Polyalthia;R. E. Fr.;2000ABS-79;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Polyalthiopsis;Polyalthiopsis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Polyalthiopsis;Polyalthiopsis;Aubl.;2000ABS-80;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Polyceratocarpus;Polyceratocarpus;Annonaceae;Malmeoideae;Piptostigmateae;Piptostigmateae;Polyceratocarpus;Polyceratocarpus;(Maas & Westra) H. Rainer;2000ABS-81;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Popowia;Popowia;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Popowia;Popowia;Huber;2000ABS-82;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Porcelia;Porcelia;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Porcelia;Porcelia;(R. E. Fr.) Maas & Westra;2000ABS-83;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Pseudartabotrys;Pseudartabotrys;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Pseudartabotrys;Pseudartabotrys;R. E. Fr.;2000ABS-84;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Pseudephedranthus;Pseudephedranthus;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Pseudephedranthus;Pseudephedranthus;Kunth;2000ABS-85;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Pseudomalmea;Pseudomalmea;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Pseudomalmea;Pseudomalmea;Barb. Rodr.;2000ABS-86;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Pseudoxandra;Pseudoxandra;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Pseudoxandra;Pseudoxandra;(Maas & Westra) H. Rainer;2000ABS-87;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Pseuduvaria;Pseuduvaria;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Pseuduvaria;Pseuduvaria;Urb.;2000ABS-88;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Pyramidanthe;Pyramidanthe;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Pyramidanthe;Pyramidanthe;R. E. Fr.;2000ABS-89;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Ruizodendron;Ruizodendron;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Ruizodendron;Ruizodendron;(R. E. Fr.) H. Rainer;2000ABS-90;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Sageraea;Sageraea;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Sageraea;Sageraea;A. Rich.;2000ABS-91;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Sanrafaelia;Sanrafaelia;Annonaceae;Annonoideae;Ophrypetaleae;Ophrypetaleae;Sanrafaelia;Sanrafaelia;R. E. Fr.;2000ABS-92;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Sapranthus;Sapranthus;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Sapranthus;Sapranthus;Warm.;2000ABS-93;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Sirdavidia;Sirdavidia;Annonaceae;Malmeoideae;Piptostigmateae;Piptostigmateae;Sirdavidia;Sirdavidia;G. E. Schatz, C. Ramos & O. Ortiz;2000ABS-94;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Sphaerocoryne;Sphaerocoryne;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Sphaerocoryne;Sphaerocoryne;(R. E. Fr.) H. Rainer;2000ABS-95;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Stelechocarpus;Stelechocarpus;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Stelechocarpus;Stelechocarpus;R. E. Fr.;2000ABS-96;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Desmopsis;Desmopsis;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Desmopsis;Desmopsis;R. E. Fr.;2000ABS-97;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Tetrameranthus;Tetrameranthus;Annonaceae;Ambavioideae;Tetramerantheae;Tetramerantheae;Tetrameranthus;Tetrameranthus;Westra & H.Rainer;2000ABS-98;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Toussaintia;Toussaintia;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Toussaintia;Toussaintia;C. Wright ex Griseb.;2000ABS-99;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Tridimeris;Tridimeris;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Tridimeris;Tridimeris;(R. E. Fr.) H. Rainer;2000ABS-100;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Trigynaea;Trigynaea;Annonaceae;Annonoideae;Bocageeae;Bocageeae;Trigynaea;Trigynaea;Saff.;2000ABS-101;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Trivalvaria;Trivalvaria;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Trivalvaria;Trivalvaria;Mill.;2000ABS-102;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Unonopsis;Unonopsis;Annonaceae;Malmeoideae;Malmeeae;Malmeeae;Unonopsis;Unonopsis;Triana & Planch.;2000ABS-103;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
Uvaria;Uvaria;Annonaceae;Annonoideae;Uvarieae;Uvarieae;Uvaria;Uvaria;Lepr.;2000ABS-104;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Uvariastrum;Uvariastrum;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Uvariastrum;Uvariastrum;Ruiz & Pav. ex G. Don;2000ABS-105;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Uvariodendron;Uvariodendron;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Uvariodendron;Uvariodendron;J.JimÈnez Ram. & J.C.Soto;2000ABS-106;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Uvariopsis;Uvariopsis;Annonaceae;Annonoideae;Monodoreae;Monodoreae;Uvariopsis;Uvariopsis;(Szyszy?.) R. E. Fr.;2000ABS-107;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
Wangia;Wangia;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Wangia;Wangia;Mart.;2000ABS-108;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Winitia;Winitia;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Winitia;Winitia;A. St.-Hil.;2000ABS-109;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Wuodendron;Wuodendron;Annonaceae;Malmeoideae;Miliuseae;Miliuseae;Wuodendron;Wuodendron;Mart.;2000ABS-110;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
Xylopia;Xylopia;Annonaceae;Annonoideae;Xylopieae;Xylopieae;Xylopia;Xylopia;Mart.;2000ABS-111;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
