SAMPLE;SPECIES_NAME_PRINT;FAMILY;SUBFAMILY;SUPERTRIBE;TRIBE;GENUS;SPECIES;DATASET;powo_identifier;gbif_identifier;WCVP_continent;WCVP_geographic_area;WCVP_lifeform_description;WCVP_climate_description;GROWTH_FORM;SOCIETAL_USE;COMMON_NAME;DUTCH_NAME;GENUS_TYPE
S0743;Annona inconformis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona inconformis;Pittier;2000ABS-159;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0744;Annona insignis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona insignis;R. E. Fr.;2000ABS-160;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0745;Annona ionophylla;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona ionophylla;Triana & Planch.;2000ABS-161;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0746;Annona iquitensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona iquitensis;R. E. Fr.;2000ABS-162;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0747;Annona jahnii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona jahnii;Saff.;2000ABS-163;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0748;Annona jamaicensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona jamaicensis;Sprague;2000ABS-164;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0751;Annona jucunda;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona jucunda;(Diels) H. Rainer;2000ABS-165;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0752;Annona leptopetala;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona leptopetala;(R. E. Fr.) H. Rainer;2000ABS-166;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0753;Annona liebmanniana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona liebmanniana;Baill.;2000ABS-167;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0754;Annona longiflora;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona longiflora;S. Watson;2000ABS-168;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0756;Annona longipedicellata;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona longipedicellata;A.C. Webber & G. Gottsberger;2000ABS-169;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0757;Annona longipes;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona longipes;Saff.;2000ABS-170;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0758;Annona macrocalyx;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona macrocalyx;R. E. Fr.;2000ABS-171;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0759;Annona macroprophyllata;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona macroprophyllata;Donn. Sm.;2000ABS-172;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0760;Annona malmeana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona malmeana;R. E. Fr.;2000ABS-173;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0761;Annona mammifera;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona mammifera;(Maas & Westra) H. Rainer;2000ABS-174;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0762;Annona manabiensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona manabiensis;Saff. ex R. E. Fr.;2000ABS-175;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0763;Annona maritima;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona maritima;(Záchia) H. Rainer;2000ABS-176;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0764;Annona membranacea;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona membranacea;R. E. Fr.;2000ABS-177;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0765;Annona moaensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona moaensis;Léon & Alain;2000ABS-178;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0766;Annona montana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona montana;Macfad.;2000ABS-179;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0768;Annona monticola;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona monticola;Mart.;2000ABS-180;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0770;Annona mucosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona mucosa;Jacq.;2000ABS-181;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0771;Annona muricata;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona muricata;L.;2000ABS-182;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0772;Annona neglecta;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neglecta;R. E. Fr.;2000ABS-183;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0795;Annona neoamazonica;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neoamazonica;H. Rainer;2000ABS-184;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0809;Annona neochrysocarpa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neochrysocarpa;H. Rainer;2000ABS-185;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0827;Annona neoecuadorensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neoecuadorensis;H. Rainer;2000ABS-186;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0834;Annona neoelliptica;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neoelliptica;H. Rainer & Maas;2000ABS-187;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0836;Annona neoinsignis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neoinsignis;H. Rainer;2000ABS-188;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0851;Annona neolaurifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neolaurifolia;H. Rainer;2000ABS-189;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0888;Annona neosalicifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neosalicifolia;H. Rainer;2000ABS-190;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0890;Annona neosericea;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neosericea;H. Rainer;2000ABS-191;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0892;Annona neoulei;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neoulei;H. Rainer;2000ABS-192;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0893;Annona neovelutina;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona neovelutina;H. Rainer;2000ABS-193;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0894;Annona nipensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona nipensis;Alain;2000ABS-194;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0895;Annona nitida;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona nitida;Mart.;2000ABS-195;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0896;Annona nutans;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona nutans;(R. E. Fr.) R. E. Fr.;2000ABS-196;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0897;Annona oblongifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona oblongifolia;R. E. Fr.;2000ABS-197;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0899;Annona oleifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona oleifolia;Westra & H.Rainer;2000ABS-198;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0901;Annona oxapampae;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona oxapampae;Maas & Westra;2000ABS-199;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0902;Annona pachyantha;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona pachyantha;(Maas & Westra) H. Rainer;2000ABS-200;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0903;Annona palmeri;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona palmeri;Saff.;2000ABS-201;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0906;Annona paludosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona paludosa;Aubl.;2000ABS-202;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0941;Annona papilionella;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona papilionella;(Diels) H. Rainer;2000ABS-203;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0946;Annona paraënsis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona paraënsis;R. E. Fr.;2000ABS-204;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0947;Annona paraguayensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona paraguayensis;R. E. Fr.;2000ABS-205;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0949;Annona parviflora;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona parviflora;(A. St.-Hil.) H. Rainer;2000ABS-206;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0951;Annona pavonii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona pavonii;G. Don;2000ABS-207;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0952;Annona penicillata;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona penicillata;;2000ABS-208;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0954;Annona pickelii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona pickelii;(Diels) H. Rainer;2000ABS-209;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0956;Annona pittieri;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona pittieri;Donn. Sm.;2000ABS-210;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0957;Annona poeppigii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona poeppigii;(Mart.) Maas & Westra;2000ABS-211;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0959;Annona praetermissa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona praetermissa;Fawc. & Rendle;2000ABS-212;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0960;Annona prevostiae;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona prevostiae;H. Rainer;2000ABS-213;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0963;Annona primigenia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona primigenia;Standl. & Steyerm.;2000ABS-214;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0964;Annona pruinosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona pruinosa;G. E. Schatz;2000ABS-215;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S0989;Annona punicifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona punicifolia;Triana & Planch.;2000ABS-216;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1011;Annona purpurea;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona purpurea;Moç. & Sessé ex Dunal;2000ABS-217;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1021;Annona quinduensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona quinduensis;Kunth;2000ABS-218;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1038;Annona rensoniana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona rensoniana;(Standl.) H. Rainer;2000ABS-219;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1039;Annona reticulata;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona reticulata;L.;2000ABS-220;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1040;Annona rigida;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona rigida;R. E. Fr.;2000ABS-221;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1043;Annona rosei;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona rosei;Saff.;2000ABS-222;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1044;Annona rufinervis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona rufinervis;(Triana & Planch.) H. Rainer;2000ABS-223;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1045;Annona rugulosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona rugulosa;(Schltdl.) H. Rainer;2000ABS-224;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1050;Annona saffordiana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona saffordiana;R. E. Fr.;2000ABS-225;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1052;Annona salicifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona salicifolia;Ekman & R. E. Fr.;2000ABS-226;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1053;Annona salzmannii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona salzmannii;A. DC.;2000ABS-227;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1069;Annona sanctae-crucis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona sanctae-crucis;S. Moore;2000ABS-228;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1072;Annona scandens;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona scandens;Diels;2000ABS-229;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1074;Annona schunkei;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona schunkei;(Maas & Westra) H. Rainer;2000ABS-230;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1077;Annona sclerophylla;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona sclerophylla;Saff.;2000ABS-231;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1083;Annona senegalensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona senegalensis;Pers.;2000ABS-232;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
S1089;Annona sericea;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona sericea;Dunal;2000ABS-233;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1093;Annona spinescens;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona spinescens;Mart.;2000ABS-234;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1095;Annona spraguei;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona spraguei;Saff.;2000ABS-235;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1096;Annona squamosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona squamosa;L.;2000ABS-236;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1097;Annona stenophylla;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona stenophylla;Engl. & Diels;2000ABS-237;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1098;Annona sylvatica;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona sylvatica;A. St.-Hil.;2000ABS-238;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1100;Annona symphyocarpa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona symphyocarpa;Sandwith;2000ABS-239;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1102;Annona tenuiflora;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona tenuiflora;Mart.;2000ABS-240;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1103;Annona tomentosa;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona tomentosa;R. E. Fr.;2000ABS-241;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1106;Annona ubatubensis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona ubatubensis;(Maas & Westra) H. Rainer;2000ABS-242;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1107;Annona ulei;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona ulei;R. E. Fr.;2000ABS-243;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1110;Annona urbaniana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona urbaniana;R. E. Fr.;2000ABS-244;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1111;Annona vepretorum;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona vepretorum;Mart.;2000ABS-245;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1113;Annona volubilis;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona volubilis;Lundell;2000ABS-246;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1114;Annona warmingiana;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona warmingiana;Mello-Silva & Pirani;2000ABS-247;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1116;Annona williamsii;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona williamsii;(Rusby ex R. E. Fr.) H. Rainer;2000ABS-248;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1117;Annona xylopiifolia;Annonaceae;Annonoideae;Annoneae;Annoneae;Annona;Annona xylopiifolia;A. St.-Hil. & Tul.;2000ABS-249;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1118;Anonidium brieyi;Annonaceae;Annonoideae;Annoneae;Annoneae;Anonidium;Anonidium brieyi;;2000ABS-250;100002;South/Central America;South/Central America;NA;subtropical;NA;NA;NA;NA;NA
S1119;Anonidium floribundum;Annonaceae;Annonoideae;Annoneae;Annoneae;Anonidium;Anonidium floribundum;Pellegr.;2000ABS-251;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
S1120;Anonidium letestui;Annonaceae;Annonoideae;Annoneae;Annoneae;Anonidium;Anonidium letestui;Pellegr.;2000ABS-252;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
S1121;Anonidium mannii;Annonaceae;Annonoideae;Annoneae;Annoneae;Anonidium;Anonidium mannii;(Oliv.) Engl. & Diels;2000ABS-253;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
S1128;Artabotrys aeneus;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Artabotrys;Artabotrys aeneus;Jovet-Ast;2000ABS-254;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
S1129;Artabotrys angustipetalus;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Artabotrys;Artabotrys angustipetalus;Photikwan & Chaowasku;2000ABS-255;100002;South East Asia;South East Asia;NA;subtropical;NA;NA;NA;NA;NA
S1148;Artabotrys antunesii;Annonaceae;Annonoideae;Duguetieae;Duguetieae;Artabotrys;Artabotrys antunesii;Engl. & Diels;2000ABS-256;100002;Africa - Continental;Africa - Continental;NA;subtropical;NA;NA;NA;NA;NA
